user_id,event_ts,event_type,event_date
1,2025-06-19 06:08:00,view,2025-06-19
1,2025-06-19 15:57:00,view,2025-06-19
1,2025-06-19 05:20:00,view,2025-06-19
1,2025-06-19 07:46:00,view,2025-06-19
1,2025-05-31 16:28:00,view,2025-05-31
1,2025-05-31 12:13:00,view,2025-05-31
1,2025-05-31 19:38:00,view,2025-05-31
1,2025-05-31 02:22:00,view,2025-05-31
1,2025-05-31 16:20:00,view,2025-05-31
1,2025-05-31 14:58:00,add_to_cart,2025-05-31
1,2025-06-29 09:17:00,view,2025-06-29
1,2025-06-29 07:04:00,view,2025-06-29
1,2025-06-29 06:00:00,view,2025-06-29
1,2025-06-29 08:35:00,add_to_cart,2025-06-29
1,2025-05-16 23:35:00,view,2025-05-16
1,2025-05-16 22:19:00,view,2025-05-16
1,2025-05-16 21:22:00,add_to_cart,2025-05-16
2,2025-07-19 00:11:00,view,2025-07-19
2,2025-07-19 11:34:00,view,2025-07-19
6,2025-04-11 14:02:00,view,2025-04-11
6,2025-04-11 00:05:00,view,2025-04-11
6,2025-04-11 17:14:00,add_to_cart,2025-04-11
7,2025-11-26 01:43:00,view,2025-11-26
7,2025-11-26 06:16:00,view,2025-11-26
7,2025-11-20 05:48:00,view,2025-11-20
7,2025-11-20 08:02:00,view,2025-11-20
7,2025-11-09 14:07:00,view,2025-11-09
7,2025-11-09 05:29:00,view,2025-11-09
7,2025-11-09 08:03:00,add_to_cart,2025-11-09
8,2025-10-19 03:25:00,view,2025-10-19
8,2025-10-19 18:20:00,view,2025-10-19
8,2025-10-19 13:07:00,view,2025-10-19
8,2025-09-30 01:27:00,view,2025-09-30
8,2025-09-30 06:52:00,view,2025-09-30
8,2025-09-30 15:09:00,add_to_cart,2025-09-30
8,2025-11-09 17:44:00,view,2025-11-09
8,2025-11-09 20:10:00,view,2025-11-09
8,2025-10-08 20:59:00,view,2025-10-08
8,2025-10-08 02:35:00,view,2025-10-08
8,2025-10-08 13:34:00,view,2025-10-08
9,2025-12-16 04:54:00,view,2025-12-16
9,2025-12-16 03:52:00,add_to_cart,2025-12-16
9,2025-12-31 16:41:00,view,2025-12-31
9,2025-12-31 12:24:00,view,2025-12-31
9,2025-12-31 23:44:00,view,2025-12-31
9,2025-12-31 08:46:00,view,2025-12-31
9,2025-12-31 16:01:00,view,2025-12-31
9,2025-12-31 21:38:00,view,2025-12-31
9,2025-12-31 23:37:00,add_to_cart,2025-12-31
10,2025-11-17 04:48:00,view,2025-11-17
10,2025-11-17 19:39:00,view,2025-11-17
10,2025-11-17 20:02:00,view,2025-11-17
10,2025-11-03 01:00:00,view,2025-11-03
10,2025-11-03 15:41:00,view,2025-11-03
10,2025-11-03 18:39:00,view,2025-11-03
10,2025-11-03 14:20:00,add_to_cart,2025-11-03
10,2025-11-03 21:09:00,view,2025-11-03
10,2025-11-03 13:56:00,view,2025-11-03
10,2025-11-03 03:16:00,view,2025-11-03
10,2025-11-03 03:22:00,add_to_cart,2025-11-03
11,2025-06-09 13:36:00,view,2025-06-09
11,2025-06-09 06:46:00,view,2025-06-09
11,2025-06-09 18:51:00,view,2025-06-09
11,2025-06-09 09:49:00,add_to_cart,2025-06-09
11,2025-09-01 15:09:00,view,2025-09-01
11,2025-09-01 04:54:00,view,2025-09-01
12,2025-12-22 01:36:00,view,2025-12-22
12,2025-12-22 21:05:00,view,2025-12-22
12,2025-12-22 03:49:00,view,2025-12-22
12,2025-12-22 09:21:00,view,2025-12-22
12,2025-12-22 18:11:00,view,2025-12-22
12,2025-12-23 22:10:00,view,2025-12-23
12,2025-12-23 20:06:00,view,2025-12-23
12,2025-12-23 05:51:00,view,2025-12-23
12,2025-12-23 17:30:00,add_to_cart,2025-12-23
12,2025-12-18 14:52:00,view,2025-12-18
12,2025-12-18 20:10:00,view,2025-12-18
12,2025-12-18 00:10:00,view,2025-12-18
12,2025-12-18 17:15:00,view,2025-12-18
12,2025-12-18 15:55:00,view,2025-12-18
12,2025-12-26 18:40:00,view,2025-12-26
12,2025-12-26 20:26:00,view,2025-12-26
12,2025-12-26 07:09:00,view,2025-12-26
12,2025-12-26 21:09:00,view,2025-12-26
12,2025-12-26 04:51:00,view,2025-12-26
12,2025-12-26 18:07:00,view,2025-12-26
